"date","event_number","ship","cruise_ID","Tioga_data_at_WHOI_DLA","Tioga_data_at_WHOI_DLA_alternate","ADCP","underway","CTD","Niskin_samples","bucket_sample","bongo_or_other_net","comment"
2020-03-12,"MVCO_426","Tioga","ti1094","https://dlacruisedata.whoi.edu/tioga/cruise/ti1094/",NA,"Yes","Yes","No","No","Yes","Unknown",NA
2020-05-28,"MVCO_427","Tioga","ti1103","https://dlacruisedata.whoi.edu/tioga/cruise/ti1103/",NA,"No","Yes","Yes","Yes","Yes","Unknown","Sosik lab Comments Gast and Hunter-Cevara"
2020-06-01,"MVCO_428","Tioga","ti1104","https://dlacruisedata.whoi.edu/tioga/cruise/ti1104/","https://dlacruisedata.whoi.edu/TI/2010_to_present/all/ti1104/","Yes","Yes","Yes","Yes","Yes","Yes","Sosik lab Comments Gast"
2020-06-29,"MVCO_429","Tioga","ti1108","https://dlacruisedata.whoi.edu/tioga/cruise/ti1108/","https://dlacruisedata.whoi.edu/TI/2010_to_present/all/ti1108/","Yes","Yes","No","No","Yes","No",NA
2020-06-30,"NA","Tioga","ti1109","https://dlacruisedata.whoi.edu/tioga/cruise/ti1109",NA,"Yes","Yes","No","NotApplicable","NotApplicable","NotApplicable","project other than NES LTER"
2020-07-22,"NA","Tioga","ti1113","https://dlacruisedata.whoi.edu/tioga/cruise/ti1113",NA,"Yes","Yes","No","NotApplicable","NotApplicable","NotApplicable","project other than NES LTER"
2020-07-23,"MVCO_430","Tioga","ti1114","https://dlacruisedata.whoi.edu/tioga/cruise/ti1114/","https://dlacruisedata.whoi.edu/TI/2010_to_present/all/ti1114/","Yes","Yes","Yes","Yes","Yes","Unknown",NA
2020-07-29,"NA","Tioga","ti1115","https://dlacruisedata.whoi.edu/tioga/cruise/ti1115",NA,"Yes","Yes","No","NotApplicable","NotApplicable","NotApplicable","project other than NES LTER"
2020-08-12,"MVCO_431","Tioga","ti1116","https://dlacruisedata.whoi.edu/tioga/cruise/ti1116",NA,"Yes","Yes","No","No","Yes","Unknown",NA
2020-08-20,"NA","Tioga","ti1118","https://dlacruisedata.whoi.edu/tioga/cruise/ti1118",NA,"Yes","Yes","No","NotApplicable","NotApplicable","NotApplicable","project other than NES LTER"
